word,late,age,links
conspiracy (n.),mid-,14,Anglo-French%Latin%French%Latin
conspirator (n.),,1400,Old French%Latin
conspire (v.),late ,14,Old French%Latin
constable (n.),,1200,Old French%Late Latin
constabulary (n.),,1630,Medieval Latin
constance (n.),mid-,14,Old French%Latin
constant (adj.),late ,14,Old French%Latin%PIE
Constantinople,,330,Greek%Latin
constellation (n.),early ,14,Old French%Late Latin%Latin
consternate (v.),,1650,Latin
consternation (n.),,1610,French%Latin
constipate (v.),,1530,Latin
constipation (n.),,1400,Late Latin%Latin
constituent (n.),,1620,Latin
constitute (v.),mid-,15,Latin%PIE
constitution (n.),mid-,14,Old French%Latin
constitutive (adj.),,1600,Medieval Latin
constrain (v.),early ,14,Latin
constraint (n.),late ,14,Old French%Vulgar Latin%Latin
constrict (v.),early ,15,Latin
constriction (n.),,1400,Latin
constrictive (adj.),,1400,Late Latin%Latin
construct (v.),early ,15,Latin
construction (n.),late ,14,Old French%Latin
constructive (adj.),early ,15,Middle French%Medieval Latin%Latin
constructivism (n.),,1924,Russian
construe (v.),late ,14,Late Latin
consubstantial (adj.),late ,15,Church Latin
consubstantiation (n.),,1590,Church Latin
consuetude (n.),late ,14,Middle French%Latin
consul (n.),late ,14,Old French%Latin
consular (adj.),early ,15,Latin
consulate (n.),late ,14,Latin
consult (v.),,1520,Middle French%Latin
consultation (n.),early ,15,Middle French%Latin%PIE
consultative (adj.),,1580,Medieval Latin
consume (v.),late ,14,Old French%Latin
consummate (adj.),mid-,15,Latin
consummate (v.),,1520,Latin
consummation (n.),late ,14,Latin
consumption (n.),late ,14,Old French%Latin
consumptive (adj.),early ,15,Latin
contact (n.),,1620,Latin
contagion (n.),late ,14,Old French%Latin
contagious (adj.),late ,14,Old French%Late Latin%Latin
contain (v.),late ,13,Old French%Latin
contaminate (v.),early ,15,Old French%Latin
contamination (n.),early ,15,Latin
contango,,1853,Spanish
contemn (v.),mid-,15,Old French%Latin
contemplate (v.),,1590,Latin
contemplation (n.),,1200,Old French%Latin
contemplative (adj.),mid-,14,Old French%Latin
contemporaneous (adj.),,1650,Late Latin
contemporary (adj.),,1630,Medieval Latin%Latin
contempt (n.),late ,14,Latin
contemptible (adj.),late ,14,Latin
contemptuous (adj.),,1590,Latin
contend (v.),mid-,15,Old French%Latin
content (adj.),,1400,Old French%Latin
content (v.),early ,15,Middle French%Latin
content (n.),early ,15,Latin
contention (n.),late ,14,Old French%Latin
contentious (adj.),,1500,Middle French%Latin
contentment (n.),mid-,15,Old French
conterminous (adj.),,1670,Latin
contessa (n.),,1819,Italian%Medieval Latin
contest (v.),,1600,French%Latin
contestant (adj.),,1660,French
contestation (n.),,1540,Latin
contex (v.),,16,Latin
context (n.),early ,15,Latin
contiguity (n.),,1640,French%Latin
contiguous (adj.),,1610,Latin
continence (n.),late ,14,Old French%Latin
continent (adj.),late ,14,Old French%Latin
continentality (n.),,1897,German%Latin
contingence (n.),early ,16,Medieval Latin
contingent (adj.),late ,14,Old French%Latin
continual (adj.),early ,14,Old French%Latin
continuance (n.),mid-,14,Old French
continuation (n.),late ,14,Old French%Latin
continue (v.),mid-,14,Old French%Latin
continuity (n.),early ,15,Middle French%Latin
continuous (adj.),,1640,French%Latin
continuum (n.),,1640,Latin
contort (v.),early ,15,Latin
contortion (n.),early ,15,Middle French%Latin
contour (n.),,1660,French%Latin
contra,mid-,14,Latin%Old Latin
contra dance,,1803,French%English%French
contraband (n.),,1520,Middle French%Latin%Frankish
contraception (n.),,1886,Latin
contract (v.),late ,14,Middle French%Latin
contract (n.),early ,14,Old French%Latin
contractile (adj.),,1706,French%Latin
contraction (n.),late ,14,Old French%Latin
contractor (n.),,1540,Late Latin
contractual (adj.),,1827,Latin
contracture (n.),,1650,French%Latin
contradict (v.),,1570,Latin
contradiction (n.),late ,14,Old French%Latin
contradictory (adj.),,1530,Late Latin
contralto (n.),,1730,Italian
contraposition (n.),,1550,Late Latin
contrapositive (adj.),,1858,Latin
contrapposto (n.),,1903,Italian%Latin
contrapuntal (adj.),,1845,Italian
contrariety (n.),late ,14,Old French%Late Latin
contrary (adj.),mid-,14,Anglo-French%Latin
contrast (v.),,1690,French%Italian%Vulgar Latin%Latin%PIE
contravene (v.),,1560,Middle French%Late Latin%Latin
contravention (n.),,1570,Middle French%Vulgar Latin
contretemps (n.),,1680,French%Latin
contribute (v.),,1520,Latin
contribution (n.),late ,14,Old French%Latin
contributor (n.),mid-,15,Anglo-French%Vulgar Latin
contrite (adj.),,1300,Old French%Latin
contrition (n.),,1300,Old French%Latin
contrive (v.),early ,14,Old French%Late Latin%Latin%Greek
control (v.),early ,14,Anglo-French%Medieval Latin%Latin
controller (n.),late ,14,Anglo-French%Medieval Latin
controversal (adj.),,1610,Latin
controverse (v.),,1600,French%Latin
controversial (adj.),,1580,Late Latin%Latin
controversy (n.),late ,14,Old French%Latin
contumacious (adj.),,1600,Latin
contumacy (n.),late ,14,Latin
contumelious (adj.),late ,15,Old French%Latin
contumely (n.),late ,14,Old French%Latin
contusion (n.),,1400,Middle French%Latin
contusive (adj.),,1798,Latin
conurbation (n.),,1915,Latin
conus (n.),,1885,Latin
convalesce (v.),late ,15,Latin
convalescence (n.),late ,15,Middle French%Late Latin
convalescent (adj.),,1650,French%Latin
convection (n.),,1620,Latin
convenance (n.),late ,15,French
convene (v.),early ,15,Middle French%Latin
convenience (n.),late ,14,Latin
convenient (adj.),late ,14,Latin
convent (n.),,1200,Anglo-French%Old French%Latin
conventicle (n.),-,-,Latin
convention (n.),early ,15,Middle French%Latin
conventional (adj.),late ,15,Late Latin%Latin
converge (v.),,1690,Late Latin
conversant (adj.),late ,14,Old French
conversation (n.),mid-,14,Old French%Latin%Latin
converse (v.),,1590,Old French%Latin
converse (adj.),,1560,Latin
conversion (n.),mid-,14,French%Latin
convert (v.),,1300,Old French%Vulgar Latin%Latin
convertible (adj.),late ,14,Old French%Late Latin%Latin
convex (adj.),,1570,Middle French%Latin
convey (v.),,1300,Anglo-French%Old French%Vulgar Latin%Latin
convict (v.),mid-,14,Latin
conviction (n.),mid-,15,Late Latin
convince (v.),,1520,Latin
convival (adj.),,1640,Latin
convive (n.),,1640,French%Latin
convivial (adj.),,1660,Late Latin%Latin
convocate (v.),mid-,16,Latin
convocation (n.),late ,14,Old French%Latin
convoke (v.),,1590,Middle French%Latin
convolute (adj.),,1794,Latin
convoluted (adj.),,1811,Latin
convolution (n.),,1540,Latin
convoy (n.),early ,16,Old French%Vulgar Latin
convulse (v.),,1640,Latin
convulsion (n.),,1580,Latin
convulsive (adj.),,1610,French%Medieval Latin
cook (n.),,1575,Vulgar Latin%Latin%PIE
cookie (n.),,1703,Dutch%Middle Dutch
cool (adj.),,1728,Proto-Germanic%PIE
coolie (n.),,1600,Hindi
coomb (n.),-,-,Old English
coop (n.),mid-,14,Old English%Latin%PIE
cooper (n.),late ,12,Low German
cooperate (v.),,1600,Late Latin
cooperation (n.),late ,15,Middle French%Late Latin
cooperative (adj.),,1600,Late Latin
cooptation (n.),,1530,Latin
coordinate (adj.),,1640,Medieval Latin
coordinate (v.),,1660,Latin
coordination (n.),,1600,French%Late Latin
cootie (n.),,1917,Malay
cop (v.),,1704,Middle French%Latin%Dutch%Old Frisian
cope (v.),late ,14,Old French
Copenhagen,-,-,Danish
copious (adj.),mid-,14,Latin%PIE
copper (n.1),-,-,Proto-Germanic%Late Latin
coppice (n.),late ,14,Old French%Vulgar Latin%Latin%Greek
copra (n.),,1580,Portuguese%Malayalam%Sanskrit
copro-,-,-,Modern Latin%Greek%PIE
coprolalia (n.),,1886,French
coprolite (n.),,1829,Greek
coprophagy (n.),,1891,Modern Latin%Greek
Copt (n.),,1610,Modern Latin%Arabic%Coptic%Greek
copula (n.),,1640,Latin
copulate (v.),early ,15,Latin%PIE
copulation (n.),late ,14,Middle French%Latin
copy (n.),early ,14,Old French%Medieval Latin%Latin
copy (v.),late ,14,Old French%Medieval Latin%Latin
coquet (n.),,1690,French
coquetry (n.),,1650,French
Cora,-,-,Greek
coracle (n.),,1540,Welsh
coral (n.),,1300,Old French%Latin%Greek
corbel (n.),mid-,14,Old French%Latin
cord (n.),,1300,Old French%Latin%Greek%PIE
cordage (n.),late ,15,Old French
cordial (adj.),late ,14,Middle French%Medieval Latin%Latin
cordillera (n.),,1704,Latin
cordon (n.),mid-,15,Middle French
cordovan (n.),,1590,Spanish
cordwainer (n.),,1100,Anglo-French%Old French
core (n.),late ,14,Old French%Latin%PIE
corgi (n.),,1926,Welsh
coriander (n.),late ,14,Old French%Latin%Greek
Corinna,-,-,Latin%Greek
Corinth,-,-,Latin%Greek%Pelasgian
corium (n.),,1650,Latin%PIE
cork (n.),,1300,Spanish%Latin
Cork,-,-,Irish
corm (n.),,1570,French%Latin
cormorant (n.),early ,14,Old French%Late Latin
corn (n.1),,382,Proto-Germanic%PIE
corn (n.2),early ,15,Old French%Latin
cornea (n.),late ,14,Medieval Latin%Latin
cornel (n.),,1550,German%Old High German%Medieval Latin%French%Vulgar Latin%Latin
cornelian (n.),,1400,Old French%Vulgar Latin%Latin
corner (n.),late ,13,Anglo-French%Old French%Vulgar Latin%Latin
cornet (n.),,1400,Old French%Latin
cornice (n.),,1560,Middle French%Italian%Latin%Greek
cornucopia (n.),,1500,Late Latin%Latin
corolla (n.),,1670,Latin
corollary (n.),late ,14,Late Latin%Latin
corona (n.),,1650,Latin
coronal (adj.),,1540,French%Latin
coronary (adj.),,1600,Latin
coronation (n.),late ,14,Late Latin
coroner (n.),late ,12,Anglo-French%Latin%Latin
coronet (n.),late ,15,Old French%Latin
corporal (n.),,1570,Middle French%Italian%Latin
corporal (adj.),late ,14,Old French%Latin
corporate (adj.),early ,15,Latin
corporation (n.),mid-,15,Late Latin
corporative (adj.),,1833,Late Latin
corporeal (adj.),early ,15,PIE
corps (n.),late ,13,Old French%Latin
corpulence (n.),late ,15,Old French%Latin
corpulent (adj.),late ,14,Old French%Latin
corpus (n.),late ,14,Latin
corpuscle (n.),,1650,Latin
corral (n.),,1580,Spanish
correct (v.),mid-,14,Latin
correct (adj.),,1670,French%Latin
correction (n.),mid-,14,Old French%Latin
corrective,,16,French%Latin
correlation (n.),,1560,Middle French
correspond (v.),,1520,Middle French%Medieval Latin
correspondence (n.),early ,15,Medieval Latin
correspondent (adj.),early ,15,Medieval Latin
corridor (n.),,1590,French%Italian%Latin
corrigendum (n.),,1850,Latin
corrigible (adj.),mid-,15,Middle French%Medieval Latin%Latin
corroborate (v.),,1530,Latin
corroboration (n.),mid-,15,Late Latin
corrode (v.),,1400,Old French%Latin
corrosion (n.),,1400,Middle French%Latin
corrosive (adj.),late ,14,Old French
corrugate (v.),,1620,Latin
corrugation (n.),,1520,Latin
corrupt (adj.),mid-,14,Old French%Latin
corrupt (v.),mid-,14,Latin
corruptible (adj.),mid-,14,Old French%Late Latin
corruption (n.),mid-,14,Latin
corsage (n.),late ,15,Old French
corsair (n.),,1540,Middle French%Medieval Latin%Latin
corse (n.),mid-,13,Old French%Latin
corset (n.),,1300,Old French
cortege (n.),,1640,French%Italian%Latin
cortes (n.),,1660,Latin
cortex (n.),,1650,Latin
cortical (adj.),,1670,Modern Latin
corundum (n.),,1728,Tamil
coruscate (v.),,1705,Latin%PIE
coruscation (n.),late ,15,Latin
corvee (n.),mid-,14,Old French%Late Latin
corvette (n.),,1630,French%Middle Dutch%Latin
Corydon,-,-,Latin%Greek
coryza (n.),,1630,Greek
cosmetic (adj.),,1640,French%Greek
cosmetology (n.),,1855,French
cosmology (n.),,1650,Modern Latin%Greek
cosmonaut (n.),,1959,Greek
cosmopolite (n.),late ,16,Greek
Cossack (n.),,1590,Russian%Turkish
cosset (v.),,1650,Old English
cost (n.),,1200,Old French%Vulgar Latin%Latin
cost (v.),late ,14,Old French
costal (adj.),,1630,French%Medieval Latin
costive (adj.),,1400,Middle French%Latin
costume (n.),,1715,French%Italian%Latin
cot (n.1),,1630,Hindi%Sanskrit
coterie (n.),,1738,French
cotillion (n.),,1766,French
cottage (n.),late ,13,Old French
cotton (n.),late ,13,Old French%Arabic
cotton (v.),,1560,Welsh
cotyledon (n.),,1540,Latin%Greek
couch (v.),,1300,Old French%Latin
couch (n.),mid-,14,Old French%Latin
cougar (n.),,1774,French%Tupi
cough (v.),early ,14,Proto-Germanic
could (v.),,1,Old English
coulee (n.),,1804,French%Latin
coulrophobia (n.),,2001,Greek
coulter (n.),,1,Latin%PIE
council (n.),early ,12,Anglo-French%Old North French%Latin
counsel (n.),early ,13,Old French%Latin
counsel (v.),late ,13,Old French%Latin
counsellor (n.),early ,13,Old French%Latin
count (v.),mid-,14,Old French%Latin
count (n.),,1300,Anglo-French%Latin
countenance (n.),mid-,13,Old French%Latin
counter (n.),mid-,14,Old French%Medieval Latin%Latin
counter (v.),late ,14,Old French
counter-,-,-,Anglo-French%Latin
counterfeit (v.),late ,13,Old French
countermand (v.),early ,15,Old French%Latin
counterpart (n.),mid-,15,Middle French
counterpoint (n.),early ,15,Old French%Medieval Latin%Latin%Old French%Medieval Latin%Latin
counterpoise (n.),early ,15,Old French%Latin
countersign (n.),,1590,Middle French
countervail (v.),late ,14,Anglo-French
countess (n.),mid-,12,Medieval Latin
country (n.),mid-,13,Old French%Vulgar Latin%Latin
county (n.),,1300,Anglo-French%Late Latin%Latin
coup (n.),,1400,Old French%Medieval Latin%Vulgar Latin%Latin%Greek
coup d&#039;etat (n.),,1640,French
coup de foudre (n.),,1779,French
coup de grace (n.),,1690,French
coupe (n.),,1834,French
couple (v.),,1200,Old French
couple (n.),late ,13,Old French%Latin%PIE
couplet (n.),,1570,French
coupon (n.),,1822,French
courage (n.),,1300,Old French%Vulgar Latin%Latin
courageous (adj.),late ,13,Anglo-French
courant (n.),-,-,French
courier (n.),mid-,14,Anglo-French%Old French%Latin
course (n.),late ,13,Old French%Latin
courser (n.),,1300,Old French%Vulgar Latin%Latin
court (n.),late ,12,Old French%Latin
courteous (adj.),mid-,14,Old French%Latin
courtesan (n.),early ,15,Middle French%Italian%Latin
courtesy,early ,13,Old French
courtier (n.),early ,13,Anglo-French%Old French
courturier (n.),,1899,French
couscous (n.),,1600,French%Arabic
cousin (n.),mid-,12,Old French%Latin
couth (adj.),,1,Old English%Proto-Germanic
couture (n.),,1908,French%Old French%Vulgar Latin
cove (n.1),early ,14,Old English%Proto-Germanic
covenant (n.),,1300,Old French%Latin
cover (v.),mid-,12,Old French%Late Latin%Latin
covert (adj.),,1300,Old French
coverture (n.),early ,13,Old French%Latin
covet (v.),mid-,13,Old French%Latin
covetous (adj.),mid-,13,Old French%Vulgar Latin%Latin
covey (n.),mid-,14,Middle French%Gallo-Roman
cow (n.),-,-,Proto-Germanic%PIE
cow (v.),,1600,Old Norse
coward (n.),mid-,13,Old French%Latin
cowardice (n.),,1300,Old French
cower (v.),,1300,Middle Low German
cowl (n.),,1917,Old English%Late Latin
cowrie (n.),,1660,Mahrati%Sanskrit
coxswain (n.),early ,14,Old Norse
coy (adj.),early ,14,Old French%Latin
coyote (n.),,1759,Mexican Spanish
coze (v.),,1828,French%Latin
cozen (v.),,1560,French%Middle English%Latin
crab (n.1),,1000,PIE
crack (v.),,1840,Old English%Proto-Germanic
cradle (n.),,1200,Old English%Proto-Germanic
craft (n.),,1670,Proto-Germanic
craft (v.),early ,15,Old English
crafty (adj.),,1200,Old English
cram (v.),,1803,Proto-Germanic%PIE
cramp (n.1),late ,14,Old French
cramp (n.2),early ,15,Middle Dutch
crane (n.),late ,13,PIE
cranial (adj.),,1800,Modern Latin%Greek
cranium (n.),,1540,Medieval Latin%Greek%PIE
cranny (n.),mid-,15,Medieval Latin%Latin
crap (v.),,1846,Middle English%Middle French%Old French%Medieval Latin%Thomas
craps (n.),,1843,Louisiana French
crapulent (adj.),,1650,Latin
crapulous (adj.),,1530,Latin%Greek
crass (adj.),,1540,Middle French%Latin
crate (n.),,1680,Latin%Dutch
crater (n.),,1610,Latin%Greek%PIE
cravat (n.),,1650,French%German%Serbo-Croatian
crave (v.),,1400,North Germanic
craven (adj.),early ,13,Old French%Latin
craw (n.),-,-,Old English%Proto-Germanic
crayfish (n.),early ,14,Old French%Frankish
crayon (n.),,1640,French%Latin
cream (n.),early ,14,Old French
creamery (n.),,1808,French
create (v.),late ,14,Latin
creatine (n.),,1834,French%Greek
creation (n.),late ,14,Old French%Latin
creator (n.),,1300,Anglo-French%Latin
creature (n.),late ,13,Old French%Late Latin
creche (n.),,1792,French%Old French
credence (n.),mid-,14,Medieval Latin%Latin
credentials (n.),,1670,Medieval Latin
credenza (n.),,1883,Italian%Medieval Latin
credibility (n.),,1590,Medieval Latin%Latin
credible (adj.),late ,14,Latin
credit (n.),,1520,Middle French%Italian%Latin
creditor (n.),mid-,15,Anglo-French%Latin
credulity (n.),early ,15,Old French%Latin
credulous (adj.),,1570,Latin
creed (n.),,17,Latin
creek (n.),mid-,15,Old Norse
creep (v.),-,-,Proto-Germanic
cremation (n.),,1620,Latin%PIE
crematorium (n.),,1880,Latin
creme (n.),,1845,French
creme de la creme (n.),,1848,French
crenel (n.),early ,14,Old French
crenelate (v.),early ,14,French
creole (n.),,1600,French%Spanish%Portuguese%Latin
creosote (n.),,1835,German%Greek
crepe (n.),,1797,French%Old French%Latin
crepitation (n.),,1650,Latin
crepitus (n.),,1810,Latin
crepuscular (adj.),,1660,Latin
crepuscule (n.),late ,14,Old French%Latin
crescendo (n.),,1776,Italian%Latin
crescent (n.),late ,14,Anglo-French%Old French%Latin%PIE
cress (n.),-,-,Proto-Germanic%PIE
crest (n.),early ,14,Old French%Latin
crest (v.),late ,14,Old French
cretaceous (adj.),,1670,Latin
Cretan (n.),-,-,Old English%Latin
cretin (n.),,1779,French%Vulgar Latin
cretonne (n.),,1870,French
crevasse (n.),,1823,French%Old French
crevice (n.),mid-,14,Old French%Vulgar Latin%Latin
crew (n.),mid-,15,Middle French%Latin
crib (n.),,1640,Old English
cricket (n.1),early ,14,Old French
cricket (n.2),,1590,Old French
crime (n.),mid-,13,Old French%Latin
criminal (adj.),early ,15,Middle French%Latin
criminality (n.),,1610,French%Medieval Latin%Latin
crimson (n.),early ,15,Old Spanish%Medieval Latin
crine (v.),,1500,Gaelic
cringe (v.),early ,13,Proto-Germanic
crinoid (adj.),,1836,Greek
crinoline (n.),,1830,French%Italian%Latin
cripple (n.),-,-,Proto-Germanic
crisis (n.),early ,15,PIE
crisp (adj.),,3,Old English%Latin%PIE
crisscross (v.),,1818,Middle English
criterion (n.),,1660,PIE
critic (n.),,1580,Middle French%Latin%Greek
critique (n.),,1702,Greek
Croat (n.),-,-,Serbo-Croatian%Old Church Slavonic
Croatia,-,-,Modern Latin%Croatian
crochet (n.),,1840,French%Old Norse
crock (n.),,19,Old English%Proto-Germanic
crocket (n.),,1300,Anglo-French
crocodile (n.),,1560,Medieval Latin%Latin%Greek
crocus (n.),late ,14,Latin%Greek%Sanskrit
croft (n.),,1799,Old English
crone (n.),late ,14,Anglo-French%Old North French%Vulgar Latin
Cronus,-,-,Greek
crony (n.),,1660,Greek
crook (n.),early ,13,Old Norse
croon (v.),,1400,Middle Dutch
croquet (n.),,1858,Old French%Old Norse
croquette (n.),,1706,French
cross (n.),mid-,10,Old Irish%Latin
crotch (n.),,1530,Old North French
crotchet (n.),late ,14,Old French
crouch (v.),late ,14,Old French
croupier (n.),,1731,French
crouton (n.),,1806,French%Old French%Latin
crowbar (n.),,1748,Old French
crown (v.),late ,12,Old French
crown (n.),early ,12,Anglo-French%Latin
crozier (n.),late ,13,Old French%Medieval Latin%Old French
cru (n.),,16,French%Old French%Latin
crucial (adj.),,1706,French%Latin
cruciate (adj.),,1530,Modern Latin%Latin
crucible (n.),early ,15,Medieval Latin%Latin
cruciferous (adj.),,1650,Late Latin%Latin
crucifix (n.),early ,13,Old French%Latin
crucifixion (n.),early ,15,Late Latin
cruciform (adj.),,1660,Modern Latin%Latin
crucify (v.),,1300,Old French%Vulgar Latin%Late Latin
cruciverbalist (n.),,1990,Latin
crude (adj.),late ,14,Latin%PIE%PIE
crudites (n.),,1960,French
crudity (n.),early ,14,Middle French%Latin
cruel (adj.),early ,13,Old French%Latin
cruelty (n.),early ,13,Old French%Latin
cruet (n.),,1300,Frankish
cruise (v.),,1650,Dutch%Latin
cruller (n.),,1805,Dutch%Middle Dutch
crumb (n.),mid-,15,Old English
crumble (v.),late ,15,Old English
crusade (n.),,1706,Middle French%Medieval Latin%Latin
crush (v.),mid-,14,Old French%Frankish
crust (n.),early ,14,Old French%Latin%PIE
Crustacea (n.),,1814,Latin
crutch (n.),,1600,Proto-Germanic
crux (n.),,1814,Latin
cry (v.),early ,13,Old French%Vulgar Latin%Latin
crypt (n.),early ,15,Latin%Greek%PIE
cryptic (adj.),,1630,Late Latin%Greek
cryptography (n.),,1650,French%Modern Latin%Greek
cryselephantine (adj.),,1827,Greek
crystal (n.),,12,Old French%Latin%Greek%PIE
crystalline (adj.),late ,14,Old French%Latin%Greek
cub (n.),,1520,Old Irish%Old Norse
cube (n.),,1550,Middle French%Latin%Greek%PIE
cubic (adj.),,1550,Middle French%Latin%Greek
cubicle (n.),mid-,15,Latin%PIE
cubism (n.),,1911,French
cubit (n.),,18,Latin%PIE
cucking stool (n.),early ,13,Old Norse
cuckold (n.),mid-,13,Old French
cuckoo (n.),mid-,13,Old French
cucumber (n.),late ,14,Old French%Latin
cud (n.),-,-,PIE
cuddle (v.),early ,16,Middle English
cudgel (n.),-,-,Old English%PIE
cuff (n.),mid-,14,Medieval Latin
cuff (v.2),,1520,Swedish
cuirass (n.),mid-,15,Middle French%Late Latin%Latin
cuisine (n.),,1786,French%Late Latin%Latin
cul-de-sac (n.),,1738,French%Latin
culdee (n.),mid-,12,Old Irish
culinary (adj.),,1630,Latin
cull (v.),,1200,Old French%Latin
culminate (v.),,1640,Late Latin%Latin
culmination (n.),,1630,French
culottes (n.),,1911,French%Latin
culpability (n.),,1670,Late Latin%Latin
culpable (adj.),late ,13,Old French%Latin
culprit (n.),,1670,Anglo-French
cult (n.),,1610,French%Latin
cultivate (v.),early ,17,Medieval Latin%Late Latin%Latin
cultivation (n.),,1700,French%Latin
cultural (adj.),,1868,Latin
culture (n.),mid-,15,Middle French%Latin
cum laude,,1872,Latin
Cumaean (adj.),,1731,Latin
cumin (n.),-,-,Old English%Latin%Greek
cummerbund (n.),,1610,Hindi%Persian%Avestan%PIE
cumulate (v.),,1530,Latin
cumulative (adj.),,1600,Latin
cumulus (n.),,1650,Latin%PIE
cun (v.),,1,Old English
cuneiform (adj.),,1670,French%Latin
cunnilingus (n.),,1887,Latin
cunt (n.),,18,Proto-Germanic
cup (n.),,1938,Late Latin%Latin%PIE
Cupid,late ,14,Latin
cupidity (n.),mid-,15,Anglo-French%Latin
cupola (n.),,1540,Italian%Late Latin
cupreous (adj.),,1660,Late Latin
cur (n.),early ,13,Old Norse
curable (adj.),late ,14,Old French%Late Latin%Latin
curate (n.),late ,14,Medieval Latin%Latin
curation (n.),late ,14,Old French%Latin
curative (adj.),early ,15,Old French%Latin
curator (n.),mid-,14,Latin
curb (n.),late ,15,Old French%Latin
curcumin (n.),,1850,Arabic
curd (n.),,1500,Old English%PIE
cure (n.1),,1300,Latin%Old Latin%PIE
cure (n.2),,13,French%Medieval Latin
cure (v.),late ,14,Old French%Latin
Curetes,-,-,Latin%Greek
curette (n.),,1753,French
curfew (n.),early ,14,Anglo-French%Old French
curia (n.),,1600,Latin
curiosity (n.),late ,14,Old French%Latin
curious (adj.),mid-,14,Old French%Latin
curl (v.),mid-,15,Middle Dutch%Proto-Germanic
curlew (n.),mid-,14,Old French
curlicue (n.),,1843,French
curmudgeon (n.),,1570,French
currency (n.),,1650,Latin
current (adj.),,1300,Old French%Latin%PIE
current (n.),late ,14,Middle French%Old French
curricular (adj.),,1798,Latin
curriculum vitae (n.),,1902,Latin
currier (n.),late ,14,Old French%Latin
curry (v.),late ,13,Anglo-French%Old French
curry (n.),,1680,Tamil
curry favor (v.),early ,16,Old French
curse (n.),,1885,Old French
curse (v.),early ,13,Old English
cursive (adj.),,1784,French%Medieval Latin%Latin
cursor (n.),,1967,Latin
cursory (adj.),,1600,Middle French%Late Latin%Latin
curt (adj.),mid-,14,Latin%PIE
curtail (v.),late ,15,Middle French
curtain (n.),,1300,Old French%Late Latin%Latin
curtilage (n.),early ,14,Anglo-French%Old French%Medieval Latin%Latin
curvature (n.),,1660,Latin
curve (v.),early ,15,Latin%PIE
cushion (n.),,1300,Old French%Latin%Latin
cushy (adj.),,1915,Hindi
cusp (n.),,1580,Latin
cuspid (n.),,1743,Latin
cuspidor (n.),,1779,Portuguese%Latin
custard (n.),mid-,14,Middle French%Latin
custody (n.),mid-,15,Latin%PIE
custom (n.),,1200,Old French%Vulgar Latin%Latin%PIE
customary (adj.),,1520,Medieval Latin%Latin
customer (n.),late ,14,Anglo-French%Medieval Latin%Latin
cut (v.),late ,13,North Germanic%Old French
cutaneous (adj.),,1570,Medieval Latin%Latin
cuticle (n.),,1610,Latin%PIE
cutlass (n.),,1590,Middle French%Italian%Latin%PIE
cutler (n.),,1400,Old French%Latin
cutlery (n.),mid-,14,Old French%Latin
cutlet (n.),,1706,French%Old French%Latin
cwm (n.),,1853,Welsh
cyan (n.),,1889,Greek
cyanide (n.),,1826,Greek
cyanosis (n.),,1820,Greek
cybernetics (n.),,1948,Greek
cycad (n.),,1845,Greek
cyclamen (n.),,1550,Medieval Latin%Latin%Greek
cycle (n.),late ,14,Late Latin%Greek%PIE
cyclic (adj.),,1794,French%Latin%Greek
cyclone (n.),,1848,Greek
cyclopean (adj.),,1640,Latin%Greek
cyclops (n.),,1510,Greek
cygnet (n.),,1400,Latin%Greek%PIE
cylinder (n.),,1560,Middle French%Latin%Greek
cylindrical (adj.),,1640,Greek
cymbal (n.),,13,Old English%Old French%Latin%Greek
Cymric (adj.),,1839,Welsh%British Celtic%PIE
cynic (n.),mid-,16,Greek
cynosure (n.),,1590,Middle French%Latin%Greek
Cynthia,-,-,Latin
cypress (n.),late ,12,Old French%Late Latin%Latin%Greek
Cyprian (adj.),,1620,Latin%Greek
Cyprus,-,-,Greek
Cyrus,,1990,Old Persian
cyst (n.),,1713,Modern Latin%Greek
cystic (adj.),,1630,French%Modern Latin%Greek
cystocele (n.),,1811,French%Greek
cystoscopy (n.),,1910,Greek
cytosine (n.),,1894,German
czar (n.),,1550,Russian%Old Slavic%Gothic%Greek
#NAME?,-,-,Greek
#NAME?,-,-,Old English
D,,500,Greek
dace (n.),early ,15,Old French
dacha (n.),-,-,Russian%Slavic%PIE
Dachau,,1933,Old High German
dachshund (n.),,1881,German
dactyl (n.),late ,14,Greek
dactylic (adj.),,1580,Latin%Greek
dada,,1920,French
dado (n.),,1660,Italian%Latin
daedal (adj.),,1580,Latin%Greek
Daedalus,-,-,Greek
daffodil (n.),,1540,Medieval Latin%Latin%Greek
daft (adj.),,1200,Old English%Proto-Germanic%PIE
dag (n.),late ,17,Proto-Germanic
dagga (n.),,1660,Hottentot
dagger (n.),late ,14,Old French%Vulgar Latin
dago (n.),,1823,Spanish
Dagon (n.),-,-,Hebrew
daguerreotype (n.),,1839,French
daily (adj.),-,-,Old English
daimyo,,1839,Chinese
dainty (n.),,1300,Old French%Latin
dairy (n.),late ,13,Old English
dais (n.),mid-,13,Anglo-French%Latin%Greek
Dakota,,1809,Dakota
dal (n.),,1690,Hindi%Sanskrit
Dalai Lama,,1,Mongolian
dale (n.),-,-,Proto-Germanic%PIE
dally (v.),,1300,Anglo-French
dam (n.1),early ,14,Old Norse%Proto-Germanic
damage (n.),late ,13,Old French%Latin
damage (v.),early ,14,Old French
Damascus,mid-,13,Latin%Greek
dame (n.),early ,13,Old French%Late Latin%Latin%Latin
